Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
"2013-04-10  Einführungsveranstaltung (WebFassung).pdf";2707469;"Henning Wenke, M. Sc.";"2013-04-11 08:13:06";"2013-04-10  Einführungsveranstaltung (WebFassung).pdf";;/2013-04-10__Einführungsveranstaltung_WebFassung.pdf
"2013-04-17 Einführung OpenCL (Web).pdf";1470924;"Henning Wenke, M. Sc.";"2013-04-17 11:55:31";"2013-04-17 Einführung OpenCL (Web).pdf";;/2013-04-17_Einführung_OpenCL_Web.pdf
"2013-04-24  Einführung OpenCL 2.pdf";1343105;"Henning Wenke, M. Sc.";"2013-04-24 12:06:07";"2013-04-24  Einführung OpenCL 2.pdf";;/2013-04-24__Einführung_OpenCL_2.pdf
"2013-05-08  OpenCL C Einführung (Web).pdf";1446238;"Henning Wenke, M. Sc.";"2013-05-08 12:03:17";"2013-05-08  OpenCL C Einführung (Web).pdf";;/2013-05-08__OpenCL_C_Einführung_Web.pdf
"2013-05-15  Matrix_NBody (Web).pdf";1406241;"Henning Wenke, M. Sc.";"2013-05-15 12:02:07";"2013-05-15  Matrix_NBody (Web).pdf";;/2013-05-15__Matrix_NBody_Web.pdf
"2013-05-22  NBody Vis (Web).pdf";1766850;"Henning Wenke, M. Sc.";"2013-05-27 09:07:01";"2013-05-22  NBodyTrails(Web).pdf";;/2013-05-22__NBody_Vis_Web.pdf
"2013-05-29  Parallelität & Synchronization (Web).pdf";1722766;"Henning Wenke, M. Sc.";"2013-05-29 11:59:15";"2013-05-29  Parallelität & Synchronization (Web).pdf";;/2013-05-29__Parallelität_+_Synchronization_Web.pdf
"2013-06-12  Atomics_Histogram_Bewertung_Scan (Web).pdf";1640372;"Henning Wenke, M. Sc.";"2013-06-13 21:25:05";"2013-06-12  Atomics_Histogramm_Bewertung_Scan (Web).pdf";;/2013-06-12__Atomics_Histogram_Bewertung_Scan_Web.pdf
"2013-06-19  Sort (Web).pdf";1385319;"Henning Wenke, M. Sc.";"2013-06-19 12:09:59";"2013-06-19  Sort (Web).pdf";;/2013-06-19__Sort_Web.pdf
"2013-06-26  Optimization - Speicherhierarchie (Web).pdf";1571674;"Henning Wenke, M. Sc.";"2013-06-26 12:08:52";"2013-06-26  Optimization - Speicherhierarchie (Web).pdf";;/2013-06-26__Optimization_-_Speicherhierarchie_Web.pdf
"2013-07-03  Optimization - Zugriffsmuster.pdf";1053633;"Henning Wenke, M. Sc.";"2013-07-03 11:42:43";"2013-07-03  Optimization - Zugriffsmuster.pdf";;/2013-07-03__Optimization_-_Zugriffsmuster.pdf
